Date,User_ID,Session_Duration,Traffic_Source,Device,Added_to_Cart,Purchased,Rating
2022-01-01,8663,655,Social Media,Tablet,Yes,No,
2022-01-01,7673,798,Organic,Desktop,No,No,3
2022-01-01,4756,527,Paid,Desktop,No,No,4
2022-01-01,9098,607,Organic,Desktop,Yes,Yes,5
2022-01-01,2734,107,Direct,Mobile,No,No,5
2022-01-01,3337,1597,Referral,Mobile,Yes,No,3
2022-01-01,5008,885,Referral,Desktop,No,No,4
2022-01-01,5076,395,Organic,Tablet,No,No,5
2022-01-02,3165,1356,Paid,Mobile,Yes,No,5
2022-01-02,1151,1163,Referral,Desktop,No,No,4
2022-01-02,2176,884,Direct,Mobile,No,Yes,5
2022-01-02,3686,667,Direct,Tablet,Yes,No,3
2022-01-02,5151,1512,Paid,Tablet,Yes,No,4
2022-01-03,5652,1121,Referral,Desktop,No,No,5
2022-01-03,8226,499,Social Media,Mobile,Yes,No,1
2022-01-03,4109,1245,Paid,Mobile,No,Yes,4
2022-01-03,4247,1075,Organic,Tablet,Yes,No,3
2022-01-03,8823,1306,Organic,Desktop,No,Yes,2
2022-01-04,5736,1003,Organic,Desktop,No,No,3
2022-01-04,6336,349,Paid,Desktop,No,No,3
2022-01-04,2734,913,Referral,Mobile,No,No,
2022-01-05,7666,406,Social Media,Mobile,Yes,No,4
2022-01-05,8690,1442,Direct,Mobile,Yes,No,4
2022-01-05,6470,207,Referral,Desktop,No,No,1
2022-01-05,6032,1640,Organic,Tablet,Yes,No,3
2022-01-06,1076,286,Social Media,Tablet,Yes,Yes,4
2022-01-06,3649,1729,Direct,Desktop,Yes,No,2
2022-01-06,2188,712,Organic,Desktop,No,No,2
2022-01-06,1343,1056,Social Media,Desktop,No,No,4
2022-01-07,8446,388,Paid,Mobile,Yes,No,2
2022-01-07,3147,64,Direct,Mobile,Yes,No,2
2022-01-07,8690,339,Paid,Desktop,No,No,5
2022-01-07,7679,1524,Direct,Mobile,No,No,
2022-01-07,5305,1718,Social Media,Tablet,Yes,Yes,3
2022-01-08,9080,1693,Direct,Tablet,No,Yes,
2022-01-08,1600,867,Paid,Tablet,No,No,3
2022-01-08,6556,1373,Paid,Desktop,Yes,No,
2022-01-08,5222,64,Social Media,Desktop,Yes,No,
2022-01-08,2465,934,Social Media,Desktop,No,No,1
2022-01-09,7645,1161,Referral,Tablet,Yes,No,3
2022-01-09,3148,1208,Paid,Desktop,No,Yes,4
2022-01-09,4998,607,Social Media,Desktop,Yes,No,5
2022-01-10,9127,481,Paid,Mobile,No,No,4
2022-01-10,3440,1448,Organic,Mobile,No,No,4
2022-01-10,3569,1325,Social Media,Mobile,Yes,No,3
2022-01-10,5016,872,Organic,Tablet,Yes,Yes,2
2022-01-10,2387,31,Organic,Desktop,No,No,5
2022-01-11,2081,898,Direct,Desktop,No,No,1
2022-01-11,6360,540,Referral,Mobile,No,No,4
2022-01-11,8876,1633,Direct,Desktop,No,No,4
2022-01-11,8399,1092,Direct,Desktop,Yes,No,1
2022-01-11,6016,900,Referral,Desktop,No,No,
2022-01-12,4810,453,Organic,Mobile,No,No,4
2022-01-12,6425,225,Social Media,Tablet,Yes,Yes,3
2022-01-12,9112,1590,Social Media,Tablet,No,No,5
2022-01-12,2603,668,Direct,Mobile,No,No,4
2022-01-12,7849,982,Referral,Mobile,Yes,Yes,1
2022-01-12,8420,249,Referral,Desktop,Yes,No,5
2022-01-12,7200,1013,Paid,Desktop,Yes,Yes,3
2022-01-12,2872,397,Organic,Desktop,No,Yes,3
2022-01-12,1318,1376,Social Media,Desktop,No,No,4
2022-01-13,7908,954,Social Media,Mobile,Yes,No,4
2022-01-13,5857,1283,Organic,Desktop,No,No,2
2022-01-13,6807,1779,Paid,Tablet,No,No,4
2022-01-13,5689,1517,Direct,Mobile,Yes,Yes,3
2022-01-13,1588,538,Organic,Mobile,No,No,
2022-01-14,6559,1071,Organic,Tablet,No,No,
2022-01-14,4765,611,Organic,Tablet,Yes,No,
2022-01-14,1340,292,Paid,Tablet,No,No,4
2022-01-14,9802,495,Organic,Mobile,No,No,3
2022-01-15,6968,507,Organic,Desktop,Yes,No,2
2022-01-15,2919,482,Referral,Mobile,Yes,No,5
2022-01-15,4462,1346,Organic,Desktop,No,No,
2022-01-15,5354,1225,Direct,Tablet,No,No,1
2022-01-15,8546,1618,Social Media,Tablet,No,No,4
2022-01-16,9281,523,Organic,Mobile,Yes,No,4
2022-01-16,2582,1649,Paid,Mobile,Yes,No,4
2022-01-17,2971,1059,Social Media,Desktop,Yes,No,3
2022-01-17,8282,1427,Referral,Tablet,No,No,3
2022-01-17,8018,1233,Paid,Tablet,Yes,No,
2022-01-17,1745,151,Social Media,Mobile,Yes,No,4
2022-01-17,8433,339,Organic,Desktop,No,No,3
2022-01-17,8213,1593,Organic,Desktop,No,No,2
2022-01-17,1712,1135,Social Media,Mobile,No,No,3
2022-01-18,4258,195,Direct,Mobile,Yes,No,3
2022-01-18,3506,924,Organic,Tablet,No,No,2
2022-01-19,6902,1215,Paid,Desktop,No,No,3
2022-01-19,4688,549,Social Media,Mobile,No,No,5
2022-01-19,4954,594,Paid,Tablet,Yes,Yes,4
2022-01-19,4264,816,Paid,Desktop,No,No,1
2022-01-19,6044,1610,Referral,Tablet,No,No,3
2022-01-19,2040,1113,Paid,Desktop,Yes,No,2
2022-01-19,3979,1429,Direct,Desktop,No,Yes,5
2022-01-19,8820,1045,Social Media,Tablet,No,No,2
2022-01-19,2613,330,Social Media,Mobile,No,No,1
2022-01-19,9266,797,Referral,Mobile,No,No,5
2022-01-20,5994,750,Paid,Tablet,No,No,1
2022-01-20,7212,157,Paid,Mobile,No,No,5
2022-01-21,4324,56,Organic,Mobile,No,No,5
2022-01-21,3276,1383,Paid,Desktop,Yes,No,4
2022-01-21,9988,952,Direct,Mobile,No,No,5
2022-01-21,5213,900,Organic,Tablet,No,No,1
2022-01-21,8847,816,Social Media,Mobile,Yes,No,2
2022-01-21,1250,1163,Referral,Desktop,Yes,No,
2022-01-21,3838,1214,Direct,Tablet,No,No,4
2022-01-21,8447,977,Direct,Mobile,No,No,3
2022-01-21,4440,1308,Social Media,Mobile,No,No,
2022-01-22,8063,115,Direct,Mobile,No,No,3
2022-01-22,6329,151,Social Media,Tablet,No,Yes,4
2022-01-22,3786,784,Referral,Mobile,Yes,No,4
2022-01-22,1486,916,Direct,Desktop,No,No,5
2022-01-22,6738,1236,Organic,Mobile,No,No,4
2022-01-22,1253,867,Referral,Tablet,Yes,No,4
2022-01-22,8254,132,Social Media,Desktop,Yes,No,2
2022-01-22,1192,1402,Direct,Mobile,No,Yes,5
2022-01-23,7620,1616,Referral,Tablet,No,No,3
2022-01-23,7449,341,Organic,Tablet,No,No,4
2022-01-23,3817,361,Paid,Desktop,Yes,No,1
2022-01-23,8140,1496,Referral,Mobile,No,No,4
2022-01-23,5321,170,Paid,Desktop,Yes,No,4
2022-01-24,7159,1244,Paid,Tablet,No,No,1
2022-01-25,4932,1156,Paid,Mobile,No,No,4
2022-01-25,7681,834,Direct,Desktop,No,No,2
2022-01-25,4625,455,Organic,Desktop,No,No,4
2022-01-25,4367,548,Direct,Tablet,No,No,2
2022-01-25,2831,884,Organic,Mobile,No,Yes,3
2022-01-25,6611,317,Direct,Desktop,Yes,No,1
2022-01-26,4807,1071,Organic,Mobile,Yes,No,4
2022-01-26,3022,441,Referral,Tablet,No,No,4
2022-01-26,8737,1134,Direct,Desktop,Yes,No,4
2022-01-27,7922,416,Paid,Desktop,Yes,No,5
2022-01-27,4426,732,Social Media,Desktop,Yes,No,5
2022-01-27,1838,1039,Direct,Mobile,No,Yes,5
2022-01-27,7158,795,Referral,Mobile,No,No,5
2022-01-28,8741,969,Social Media,Tablet,Yes,No,
2022-01-28,1145,943,Paid,Desktop,No,No,2
2022-01-28,9032,105,Referral,Tablet,No,No,3
2022-01-28,6649,1477,Organic,Desktop,No,Yes,5
2022-01-28,9564,1126,Referral,Mobile,Yes,No,3
2022-01-29,6307,104,Direct,Tablet,No,No,5
2022-01-29,4118,397,Referral,Desktop,Yes,No,2
2022-01-29,7697,1684,Direct,Mobile,No,No,2
2022-01-29,9674,1405,Organic,Mobile,No,No,3
2022-01-29,7704,727,Direct,Mobile,Yes,No,2
2022-01-29,5753,1609,Paid,Mobile,No,No,2
2022-01-29,9353,1689,Organic,Desktop,Yes,No,5
2022-01-29,6728,80,Social Media,Tablet,No,No,4
2022-01-30,9532,1717,Social Media,Desktop,Yes,No,3
2022-01-30,9401,905,Referral,Tablet,No,Yes,4
